Chromosome/scaffold name,Gene start (bp),Gene end (bp),Gene stable ID,Gene name,Strand
22,50738196,50745339,ENSG00000100312,ACR,1
X,54807599,54816015,ENSG00000102316,MAGED2,1
8,69446057,69446260,ENSG00000253216,,1
8,12178697,12182719,ENSG00000249889,ALG1L11P,1
8,25179113,25184234,ENSG00000287185,,-1
9,62860873,62864957,ENSG00000227582,ADGRF5P1,-1
9,89799695,89821753,ENSG00000226206,,1
9,76931261,76932066,ENSG00000230335,DNAJB5P1,-1
8,70669339,70790371,ENSG00000221947,XKR9,1
9,70217195,70217668,ENSG00000236801,RPL24P8,1
9,72275453,72275973,ENSG00000233933,,1
16,3953387,4116442,ENSG00000162104,ADCY9,-1
9,61229913,61231863,ENSG00000275676,,-1
10,42694371,42714575,ENSG00000231009,CUBNP1,-1
9,80563571,80564630,ENSG00000232981,MTCO1P51,-1
9,90020654,90041499,ENSG00000227555,MIR4290HG,-1
22,50740593,50743520,ENSG00000254499,,-1
10,5266033,5271236,ENSG00000224034,LINC02561,-1
21,46300181,46323875,ENSG00000160298,C21orf58,-1
22,50754675,50755434,ENSG00000213683,,-1
10,45147394,45171389,ENSG00000243349,,1
9,91159573,91166272,ENSG00000235641,LINC00484,1
22,33104330,33145861,ENSG00000231253,LINC01640,1
10,20350049,20351100,ENSG00000228339,AMD1P1,1
9,63317067,63333091,ENSG00000186466,AQP7P1,-1
10,45725694,45726038,ENSG00000228702,,-1
10,47517816,47553514,ENSG00000254929,,-1
6,4702463,4703779,ENSG00000217385,PSMC1P11,1
22,33105383,33106059,ENSG00000228622,,-1
9,85783668,85805154,ENSG00000230303,,-1
22,33137140,33137338,ENSG00000233632,,1
6,729128,760936,ENSG00000287293,,-1
22,33320865,33322813,ENSG00000230741,,1
6,21485896,21521414,ENSG00000280989,LINC00581,-1
22,33436582,33436669,ENSG00000266012,MIR4764,-1
22,33704786,33704920,ENSG00000253007,SNORA50B,-1
22,33704786,33704922,ENSG00000281295,,-1
22,33723832,33724912,ENSG00000232081,LARGE-IT1,-1
6,15243923,15245000,ENSG00000271888,JARID2-DT,-1
6,8015726,8102530,ENSG00000265818,EEF1E1-BLOC1S5,-1
22,33725007,33750843,ENSG00000224973,LARGE-AS1,1
6,8102711,8343139,ENSG00000232234,,1
10,45615500,45672780,ENSG00000172671,ZFAND4,-1
8,50859530,50860062,ENSG00000253340,,1
6,24976419,24976982,ENSG00000214975,PPIAP29,1
8,63703077,63751677,ENSG00000253762,,1
14,95573520,95582305,ENSG00000258390,LINC02318,1
6,7276031,7298872,ENSG00000238221,,1
6,16171606,16172031,ENSG00000216364,MRPL42P2,1
8,64703774,64734459,ENSG00000254330,,-1
6,10429255,10435015,ENSG00000183674,LINC00518,-1
8,80967810,81112068,ENSG00000076641,PAG1,-1
9,82744067,82744792,ENSG00000233309,RPS6P12,-1
9,82431889,82432905,ENSG00000228123,,-1
9,99531507,99583301,ENSG00000234860,,1
X,37349330,38687674,ENSG00000250349,,1
9,83242990,83538546,ENSG00000172159,FRMD3,-1
X,56232356,56291531,ENSG00000102349,KLF8,1
14,90256527,90275429,ENSG00000100764,PSMC1,1
6,18155329,18223854,ENSG00000165097,KDM1B,1
8,81058523,81067744,ENSG00000254177,,1
8,46784800,46785928,ENSG00000228984,,1
8,73651289,73651602,ENSG00000254105,VENTXP6,1
8,80032724,80033300,ENSG00000272264,,-1
8,64331927,64332152,ENSG00000253231,COX6CP8,1
8,72202751,72251565,ENSG00000250979,,-1
22,46330875,46357340,ENSG00000100416,TRMU,1
16,3840528,3841010,ENSG00000262516,DPPA3P6,1
16,4748239,4767624,ENSG00000103199,ZNF500,-1
HSCHR17_10_CTG4,165045,167015,ENSG00000282604,CCL4L2,1
X,85849410,85850139,ENSG00000223707,SFR1P2,-1
X,80529037,80530027,ENSG00000230247,HNRNPH3P1,1
X,74396871,74399550,ENSG00000230665,THAP12P1,-1
HSCHR17_10_CTG4,70274,131613,ENSG00000282763,,1
X,52409772,52410432,ENSG00000276897,,-1
HSCHR17_10_CTG4,26963,44231,ENSG00000282775,CCL3-AS1,1
X,80709928,80710705,ENSG00000225715,PSMA1P1,1
X,75537547,75538702,ENSG00000237089,PCNPP4,-1
X,88369343,88369459,ENSG00000271693,,1
HSCHR17_10_CTG4,309382,320313,ENSG00000275861,TBC1D3I,-1
X,52369021,52375680,ENSG00000155622,XAGE2,1
HSCHR15_1_CTG1,140377,140836,ENSG00000281153,,1
HSCHR15_1_CTG1,130592,145190,ENSG00000274439,CXADRP2,-1
HSCHR15_1_CTG1,51545,53093,ENSG00000274240,,-1
14,89399995,89409469,ENSG00000258380,,1
HSCHR15_1_CTG1,310634,418371,ENSG00000280555,LINC02203,1
HSCHR17_10_CTG4,149003,150892,ENSG00000277796,CCL3L1,-1
14,101257332,101278318,ENSG00000258497,,1
16,8615855,8618033,ENSG00000287522,,-1
16,17445825,17446380,ENSG00000275927,,-1
HSCHR17_10_CTG4,119784,130698,ENSG00000282750,TBC1D3B,-1
14,52314305,52328598,ENSG00000125384,PTGER2,1
16,23017723,23026285,ENSG00000261090,,1
HSCHR15_1_CTG1,292302,293181,ENSG00000281622,,1
HSCHR17_10_CTG4,280990,282550,ENSG00000282747,,-1
HSCHR15_1_CTG1,102515,103052,ENSG00000281208,LONRF2P4,-1
X,86128893,86129570,ENSG00000223574,TPMTP4,-1
HSCHR17_10_CTG4,297442,297541,ENSG00000282403,,1
HSCHR15_1_CTG1,448034,448958,ENSG00000274846,,1
HSCHR17_10_CTG4,18377,26129,ENSG00000278006,CCL18,1
HSCHR15_1_CTG1,416938,418134,ENSG00000278178,,1
X,75884546,75885136,ENSG00000233063,SAR1AP4,1
16,18803083,18812181,ENSG00000260017,,1
HSCHR17_10_CTG4,237046,238103,ENSG00000282319,,-1
8,69466624,69660915,ENSG00000137573,SULF1,1
13,75871038,75883811,ENSG00000178734,LMO7DN,1
16,3930806,3950586,ENSG00000262185,LINC02861,-1
X,77447389,77457278,ENSG00000196468,FGF16,1
HSCHR15_1_CTG1,86402,101847,ENSG00000281507,,-1
14,53169010,53883740,ENSG00000237356,,1
HSCHR15_1_CTG1,474645,475266,ENSG00000280463,,-1
HSCHR17_10_CTG4,266766,268581,ENSG00000275313,CCL4L2,1
HSCHR15_1_CTG1,126428,128627,ENSG00000281803,,1
HSCHR15_1_CTG1,403073,404156,ENSG00000278776,OR4M2B,1
HSCHR15_1_CTG1,141815,142058,ENSG00000281718,GRAMD4P6,1
13,75876886,75881127,ENSG00000223458,LMO7DN-IT1,1
HSCHR15_1_CTG1,8090,18057,ENSG00000281804,NBEAP4,-1
13,75932395,75935132,ENSG00000261206,LINC00561,-1
HSCHR15_1_CTG1,100137,101924,ENSG00000281263,,1
16,22806289,22813680,ENSG00000283213,,-1
6,19143695,19144160,ENSG00000217379,RPL21P61,1
13,76013023,76014501,ENSG00000224933,LINC01034,-1
X,79084936,79085848,ENSG00000232168,P2RY10BP,1
9,97698922,97700734,ENSG00000214417,KRT18P13,1
HSCHR15_1_CTG1,166190,198391,ENSG00000278699,POTEB3,-1
10,47588681,47619480,ENSG00000264404,LINC02675,-1
16,4562814,4563128,ENSG00000261612,SUB1P3,-1
X,76222637,76223097,ENSG00000237252,MMADHCP1,1
6,7881522,8064364,ENSG00000259040,BLOC1S5-TXNDC5,-1
X,88747225,88754785,ENSG00000147183,CPXCR1,1
16,25691959,26137685,ENSG00000182601,HS3ST4,1
13,19422876,19561625,ENSG00000132958,TPTE2,-1
HSCHR17_10_CTG4,115703,117029,ENSG00000282389,,1
HSCHR17_10_CTG4,290188,290292,ENSG00000282768,,-1
HSCHR17_10_CTG4,203748,205067,ENSG00000282512,,1
9,71683366,71816690,ENSG00000135048,CEMIP2,-1
HSCHR17_10_CTG4,207820,218775,ENSG00000278632,TBC1D3B,-1
HSCHR15_1_CTG1,272030,324899,ENSG00000281604,,1
X,78519593,78520186,ENSG00000224755,HMGN1P34,-1
16,12374355,12376032,ENSG00000278979,,1
HSCHR15_1_CTG1,56126,83263,ENSG00000281836,,-1
HSCHR15_1_CTG1,65641,65747,ENSG00000275809,U6,1
6,2353427,2386110,ENSG00000286512,,-1
HSCHR15_1_CTG1,186840,186946,ENSG00000273624,,-1
HSCHR15_1_CTG1,257928,267301,ENSG00000281688,NF1P9,-1
10,25934229,26212532,ENSG00000095777,MYO3A,1
6,23856698,23856818,ENSG00000218512,SPTLC1P2,-1
21,46420553,46421034,ENSG00000225043,RPL18AP2,-1
HSCHR15_1_CTG1,248281,260874,ENSG00000290539,NF1P2,-1
6,7986537,7988192,ENSG00000219294,PIP5K1P1,1
21,46448403,46458540,ENSG00000289421,,-1
HSCHR17_10_CTG4,42353,44266,ENSG00000278567,CCL3,-1
6,7726099,7881728,ENSG00000153162,BMP6,1
HSCHR17_10_CTG4,137350,150605,ENSG00000282229,,1
21,46458891,46570015,ENSG00000160305,DIP2A,1
HSCHR17_10_CTG4,250577,252466,ENSG00000277768,CCL3L1,-1
5,31822561,31823136,ENSG00000224282,,-1
5,8618581,8619104,ENSG00000250389,MTND6P2,-1
HSCHR17_10_CTG4,57924,59718,ENSG00000277943,CCL4,1
16,19410496,19499113,ENSG00000103534,TMC5,1
5,19233366,19234487,ENSG00000249557,HSPD1P15,1
HSCHR17_10_CTG4,64247,64544,ENSG00000274169,RN7SL301P,1
14,86283243,86304863,ENSG00000286582,,1
5,20606710,20616441,ENSG00000249490,LINC02146,-1
14,96233431,96234101,ENSG00000259036,,-1
14,87568181,87569399,ENSG00000259028,,1
13,28598833,28600052,ENSG00000235472,EIF4A1P7,1
5,8980404,8980659,ENSG00000279635,,-1
14,86006893,86062981,ENSG00000258912,LINC02316,-1
13,28629794,28629883,ENSG00000273964,Y_RNA,1
5,41967139,41968366,ENSG00000249266,MTHFD2P6,-1
13,28658871,28659091,ENSG00000289569,,-1
6,3754099,3754840,ENSG00000219992,,1
X,72329516,72573101,ENSG00000147099,HDAC8,-1
13,28700064,28718970,ENSG00000139508,SLC46A3,-1
5,20304045,20305448,ENSG00000214132,,-1
6,14431683,14502701,ENSG00000286277,,1
5,22139247,22141468,ENSG00000253104,,-1
5,9363275,9422481,ENSG00000248537,,1
6,7881517,7910788,ENSG00000239264,TXNDC5,-1
5,24835280,24840583,ENSG00000248908,LINC02239,-1
18,55452533,55482940,ENSG00000267028,TCF4-AS1,1
5,17353910,17354899,ENSG00000248223,,1
18,55479221,55479298,ENSG00000264571,MIR4529,1
18,55492175,55496392,ENSG00000267402,TCF4-AS2,1
14,25431193,25432234,ENSG00000257976,,-1
5,4773481,4774865,ENSG00000249521,LINC02114,1
18,55635833,55636310,ENSG00000242320,RPL21P126,1
14,77098311,77225462,ENSG00000259164,,1
18,55776727,55781722,ENSG00000267325,LINC01415,-1
5,31741833,31742327,ENSG00000248813,,-1
5,29881709,29882945,ENSG00000233787,,-1
14,84173791,84175510,ENSG00000258923,MTND5P35,1
5,28614613,28654531,ENSG00000286432,,1
5,17378906,17387310,ENSG00000250822,LINC02111,-1
14,97662638,97688600,ENSG00000287501,,1
14,91258299,91259003,ENSG00000260810,,1
5,26669711,26669989,ENSG00000248426,,-1
14,95644508,95645232,ENSG00000270038,,1
13,28703702,28703807,ENSG00000202237,RNU6-53P,-1
5,4866521,4874759,ENSG00000249941,,1
14,95516136,95517911,ENSG00000258572,,1
18,55817167,55819759,ENSG00000267172,,1
13,28722386,28724021,ENSG00000233588,CYP51A1P2,-1
13,28778224,28778448,ENSG00000277227,,-1
5,13144000,13190677,ENSG00000248145,,1
14,89736965,89738391,ENSG00000259050,CHORDC2P,-1
18,26685954,26689668,ENSG00000263677,,1
13,28778558,28778937,ENSG00000236339,POM121L13P,1
5,33162179,33162807,ENSG00000240376,,1
5,15425758,15496353,ENSG00000286377,,1
14,57578409,57600404,ENSG00000259039,,1
5,25218973,25298612,ENSG00000251654,,-1
13,28659065,28678959,ENSG00000132963,POMP,1
18,26687621,26703638,ENSG00000265369,PCAT18,-1
5,38197432,38198148,ENSG00000276332,,1
5,37377049,37377971,ENSG00000250455,,1
18,26689316,26689529,ENSG00000275900,U3,-1
18,26822341,26825171,ENSG00000263382,,-1
14,95663256,95692630,ENSG00000259084,,1
18,26831520,26832432,ENSG00000266184,,-1
18,26852043,26865771,ENSG00000171885,AQP4,-1
5,20611806,20937800,ENSG00000251629,LINC02241,1
14,84998278,84999296,ENSG00000271712,,-1
14,90291516,90294942,ENSG00000287437,,1
14,89412312,89954659,ENSG00000259053,,-1
14,104842663,104845916,ENSG00000258811,,1
6,11810602,11811248,ENSG00000234427,,1
14,96456576,96457041,ENSG00000240051,RPL23AP10,-1
6,19892397,19894214,ENSG00000287138,,1
6,17092714,17108156,ENSG00000287359,,-1
14,96279195,96363341,ENSG00000066739,ATG2B,-1
6,12007670,12008856,ENSG00000229896,,1
6,3693923,3694075,ENSG00000270477,,-1
6,11417207,11481324,ENSG00000233656,,1
13,42562736,42608013,ENSG00000120659,TNFSF11,1
6,23102680,23103546,ENSG00000218476,RPL6P18,1
6,25053627,25057073,ENSG00000223623,,-1
6,22569566,22571666,ENSG00000112273,HDGFL1,1
6,21528739,21595593,ENSG00000283480,,-1
6,10434316,10456781,ENSG00000229401,MIR5689HG,1
6,15102946,15104130,ENSG00000216754,RPL6P17,-1
6,1312098,1314758,ENSG00000164379,FOXQ1,1
6,13924446,13980310,ENSG00000180537,RNF182,1
9,90957260,90965393,ENSG00000228216,,-1
HSCHR15_1_CTG8,66547,79950,ENSG00000276896,GOLGA8F,1
9,78589158,78589539,ENSG00000270627,,1
9,86632147,86696496,ENSG00000232211,,1
13,102596958,102679958,ENSG00000134900,TPP2,1
9,64705734,64709311,ENSG00000225883,BMS1P11,-1
HSCHR17_13_CTG4,254816,255614,ENSG00000292024,KRTAP17-1,-1
9,89605012,89606555,ENSG00000130222,GADD45G,1
HSCHR17_13_CTG4,263331,269449,ENSG00000292025,TBC1D3P7,1
HSCHR17_13_CTG4,274536,275637,ENSG00000292026,,1
HSCHR17_13_CTG4,285996,290732,ENSG00000292027,KRT33A,-1
HSCHR15_1_CTG8,274599,278980,ENSG00000282090,HERC2P11,-1
6,10118452,10119253,ENSG00000216368,RPL7AP36,1
14,106170749,106171052,ENSG00000283948,IGHVIII-16-1,-1
HSCHR17_13_CTG4,303402,309717,ENSG00000292028,KRT33B,-1
HSCHR15_1_CTG8,90726,92883,ENSG00000276143,,1
14,106268606,106269140,ENSG00000211949,IGHV3-23,-1
HSCHR15_1_CTG8,49782,53644,ENSG00000275855,,-1
6,20321461,20333193,ENSG00000286590,,1
HSCHR17_13_CTG4,333625,337512,ENSG00000292029,KRT31,-1
HSCHR15_1_CTG8,34437,34603,ENSG00000282126,,1
HSCHR17_13_CTG4,342320,364953,ENSG00000292030,,1
HSCHR15_1_CTG8,219191,232551,ENSG00000273651,GOLGA8G,-1
HSCHR17_13_CTG4,346416,351679,ENSG00000292031,KRT41P,-1
6,4994717,5004063,ENSG00000124787,RPP40,-1
HSCHR17_13_CTG4,360451,364489,ENSG00000292032,KRT37,-1
HSCHR17_13_CTG4,317573,322210,ENSG00000292033,KRT34,-1
HSCHR17_13_CTG4,9043,9917,ENSG00000292034,KRTAP2-3,-1
14,90847861,91060641,ENSG00000100784,RPS6KA5,-1
HSCHR17_13_CTG4,14919,15682,ENSG00000292035,KRTAP2-4,-1
9,63719864,63720441,ENSG00000268951,CDRT15P7,1
9,74946583,74952912,ENSG00000135045,C9orf40,-1
HSCHR17_13_CTG4,21749,22144,ENSG00000292036,KRTAP2-5P,1
HSCHR17_13_CTG4,40141,43049,ENSG00000292037,,1
HSCHR17_13_CTG4,66976,68168,ENSG00000292038,KRTAP4-11,-1
HSCHR15_1_CTG8,154423,157362,ENSG00000273635,,-1
HSCHR17_13_CTG4,72881,73972,ENSG00000292039,KRTAP4-12,-1
18,58189834,58195696,ENSG00000267743,,-1
9,86132622,86132851,ENSG00000233713,,1
HSCHR15_1_CTG8,264568,264805,ENSG00000282531,,-1
HSCHR17_13_CTG4,99081,99982,ENSG00000292040,KRTAP4-5,-1
9,61194211,61203446,ENSG00000277412,,-1
HSCHR15_1_CTG8,37010,45974,ENSG00000276455,GOLGA6L22,-1
HSCHR17_13_CTG4,109797,110896,ENSG00000292041,KRTAP4-4,-1
22,46481329,46481760,ENSG00000230634,FAM136EP,-1
9,93808347,93858340,ENSG00000231990,,1
HSCHR15_1_CTG8,194556,194757,ENSG00000281946,,-1
HSCHR17_13_CTG4,46784,47945,ENSG00000292042,KRTAP4-8,-1
18,58371566,58372666,ENSG00000267504,,1
HSCHR15_1_CTG8,206204,208386,ENSG00000274192,ABCB10P4,-1
HSCHR17_13_CTG4,247588,249197,ENSG00000292043,KRTAP16-1,-1
HSCHR15_1_CTG8,172906,173026,ENSG00000273969,,-1
18,57427133,57432112,ENSG00000277837,,1
22,46541495,46548196,ENSG00000234869,LINC02925,1
HSCHR15_1_CTG8,245492,249357,ENSG00000282058,,1
HSCHR17_13_CTG4,127696,128471,ENSG00000292044,KRTAP4-2,-1
HSCHR17_13_CTG4,137129,137321,ENSG00000292045,KRTAP4-17P,-1
9,42566679,42569353,ENSG00000237357,FAM88E,-1
HSCHR15_1_CTG8,253218,260959,ENSG00000276485,GOLGA6L25,1
HSCHR17_13_CTG4,162908,163439,ENSG00000292046,KRTAP9-12P,1
18,57435374,57491298,ENSG00000119547,ONECUT2,1
HSCHR17_13_CTG4,182628,183633,ENSG00000292047,KRTAP9-3,1
HSCHR15_1_CTG8,110020,110224,ENSG00000282516,,1
HSCHR15_1_CTG8,104302,104527,ENSG00000282731,,1
22,46576012,46679790,ENSG00000075240,GRAMD4,1
HSCHR17_13_CTG4,188128,189133,ENSG00000292048,KRTAP9-8,1
10,44806443,44808223,ENSG00000227395,EIF2AP4,1
HSCHR15_1_CTG8,143715,143838,ENSG00000282587,,1
10,44997698,45000888,ENSG00000165511,ZNF22-AS1,-1
HSCHR17_13_CTG4,199814,200780,ENSG00000292049,KRTAP9-4,1
HSCHR15_1_CTG8,8082,10112,ENSG00000277278,HERC2,-1
9,86374966,86375706,ENSG00000214908,,-1
HSCHR17_13_CTG4,241706,242731,ENSG00000292050,KRTAP29-1,-1
9,86669349,86708307,ENSG00000285686,LINC02834,-1
HSCHR17_13_CTG4,89227,90338,ENSG00000292051,KRTAP4-6,-1
10,37791580,37791937,ENSG00000260137,,1
HSCHR17_13_CTG4,55192,56291,ENSG00000292052,KRTAP4-9,1
HSCHR15_1_CTG8,20190,24559,ENSG00000274801,,1
HSCHR17_13_CTG4,33953,34947,ENSG00000292053,KRTAP4-7,1
HSCHR15_1_CTG8,115720,115924,ENSG00000282581,,1
10,25244061,25244854,ENSG00000274242,,-1
9,97501180,97601743,ENSG00000136842,TMOD1,1
HSCHR17_13_CTG4,4301,5033,ENSG00000292054,KRTAP2-2,-1
HSCHR15_1_CTG8,223731,224020,ENSG00000276767,Metazoa_SRP,-1
18,57588611,57589091,ENSG00000278703,,-1
10,57955295,57957178,ENSG00000223841,,1
HSCHR15_1_CTG8,3653,3730,ENSG00000274700,,1
HSCHR17_13_CTG4,51305,52012,ENSG00000292055,KRTAP4-16,-1
HSCHR15_1_CTG8,75120,75377,ENSG00000274122,,1
10,16071416,16071809,ENSG00000237913,FTLP19,-1
HSCHR15_1_CTG8,289769,289840,ENSG00000276005,,1
10,37894637,37896666,ENSG00000235197,ZNF33CP,1
HSCHR15_1_CTG8,289072,290703,ENSG00000290583,,1
10,23095579,23122013,ENSG00000148450,MSRB2,1
18,57600656,57622213,ENSG00000134440,NARS1,-1
5,14872332,14872713,ENSG00000272057,ANKH-DT,1
5,25963839,25990687,ENSG00000286625,,1
5,54956235,54957846,ENSG00000249016,,-1
5,8572047,8572206,ENSG00000279097,,1
5,3357264,3536094,ENSG00000248118,LINC01019,-1
13,52012391,52079232,ENSG00000253710,ALG11,1
5,7346986,7348671,ENSG00000250668,LINC02123,-1
10,20095125,20099664,ENSG00000287613,,-1
5,7226156,7229357,ENSG00000286254,,-1
5,26669346,26669736,ENSG00000230571,,1
10,45302298,45315608,ENSG00000256574,OR13A1,-1
5,32653321,32656022,ENSG00000286741,,1
5,32354350,32444740,ENSG00000056097,ZFR,-1
10,29891032,29891467,ENSG00000237936,,-1
10,23192312,23194245,ENSG00000168267,PTF1A,1
22,33164063,33166439,ENSG00000232073,,1
22,33922422,33922766,ENSG00000273082,LARGE1-AS1,1
22,46360834,46537620,ENSG00000075275,CELSR1,-1
6,3941282,3941801,ENSG00000217566,TDGF1P4,1
6,15994944,15999797,ENSG00000232947,LINC02543,1
13,52167709,52291557,ENSG00000217576,,-1
9,97926791,97944856,ENSG00000136929,HEMGN,-1
10,24848614,24952606,ENSG00000099256,PRTFDC1,-1
13,52169987,52171248,ENSG00000285323,,-1
6,18223860,18264548,ENSG00000124795,DEK,-1
13,25301524,25365390,ENSG00000139496,NUP58,1
9,83201957,83202065,ENSG00000273806,,1
9,66724584,66725064,ENSG00000273849,SDR42E1P4,1
9,78178263,78179512,ENSG00000233947,ASS1P3,1
9,81488308,81488837,ENSG00000237072,,1
14,106264688,106264715,ENSG00000254045,IGHVIII-22-2,-1
9,89449558,89450754,ENSG00000231799,PA2G4P6,1
14,91419449,91419751,ENSG00000258446,,1
9,90216039,90216924,ENSG00000185074,OR7E31P,1
9,62857208,62858484,ENSG00000238245,MYO5BP2,1
14,106373663,106374145,ENSG00000211956,IGHV4-34,-1
14,87634379,87655294,ENSG00000258770,LINC02330,-1
9,83659968,83707958,ENSG00000135018,UBQLN1,-1
14,95620914,95643285,ENSG00000258927,,1
10,27904209,27905162,ENSG00000226016,RPL36AP55,1
10,32109861,32111666,ENSG00000235113,,1
14,95533503,95544724,ENSG00000182512,GLRX5,1
10,25691537,25692323,ENSG00000271563,HIRAP1,1
10,47581211,47582321,ENSG00000266217,CTSLP2,-1
10,22693953,22694639,ENSG00000279819,,-1
10,42566677,42567483,ENSG00000233837,EIF3LP2,1
10,38453181,38466176,ENSG00000203496,,1
10,43909244,43981102,ENSG00000233395,LINC00841,1
15,67254786,67502260,ENSG00000103599,IQCH,1
14,96392128,96489427,ENSG00000140057,AK7,1
HSCHR15_2_CTG8,848,357702,ENSG00000277848,MEGF11,-1
10,33341655,33341905,ENSG00000273012,,1
10,44937508,44955725,ENSG00000223462,,1
18,57639455,57738603,ENSG00000267787,,1
10,52972612,53030024,ENSG00000227121,LINC02672,-1
HSCHR17_1_CTG1,77526,79067,ENSG00000277730,SCGB1C2,1
HSCHR17_1_CTG1,122756,130502,ENSG00000282365,LINC02091,-1
10,42751178,42754297,ENSG00000259869,,-1
10,44958917,44959458,ENSG00000273363,,-1
18,57646426,57803315,ENSG00000081923,ATP8B1,-1
10,28263703,28265175,ENSG00000286413,,1
10,27744786,27767794,ENSG00000230500,MKX-AS1,1
HSCHR17_1_CTG1,157541,359308,ENSG00000262334,RPH3AL,-1
10,45678692,45700532,ENSG00000230869,AGAP10P,1
10,33759713,33772702,ENSG00000261683,LINC00838,-1
HSCHR15_2_CTG8,382453,382998,ENSG00000277844,DIS3L-AS1,-1
HSCHR15_2_CTG8,362454,365758,ENSG00000282280,,1
16,3725054,3880713,ENSG00000005339,CREBBP,-1
21,46462471,46469306,ENSG00000223692,DIP2A-IT1,1
10,24981979,25062279,ENSG00000151023,ENKUR,-1
21,46525618,46525722,ENSG00000202239,RNU6-396P,1
21,33481580,33482195,ENSG00000215088,RPS5P3,-1
21,33482499,33484258,ENSG00000231355,,-1
14,90453571,90490763,ENSG00000233208,LINC00642,1
9,62690033,62690534,ENSG00000234276,SDR42E1P3,1
9,91169585,91170045,ENSG00000230147,,-1
13,32432417,32538885,ENSG00000244754,N4BP2L2,-1
21,33503931,33543491,ENSG00000159131,GART,-1
9,62897368,62900104,ENSG00000170161,FAM88B,1
HSCHR17_1_CTG1,292806,293888,ENSG00000282030,,1
HSCHR17_1_CTG1,326179,329829,ENSG00000282720,,1
9,103361952,103429892,ENSG00000226566,,-1
8,29864644,29871661,ENSG00000254086,,1
HSCHR17_1_CTG1,37494,58578,ENSG00000282518,,-1
22,17734138,17774770,ENSG00000015475,BID,-1
9,61202718,61203087,ENSG00000276149,,-1
8,63409064,63409457,ENSG00000215096,IFITM8P,1
HSCHR17_1_CTG1,302640,304923,ENSG00000263267,RPH3AL-AS1,1
8,79918860,80080775,ENSG00000276418,,-1
9,101793454,101793756,ENSG00000230302,MTND3P4,-1
HSCHR17_1_CTG1,82789,120568,ENSG00000272670,DOC2B,-1
10,21756548,22003769,ENSG00000136770,DNAJC1,-1
9,60943311,60964196,ENSG00000276422,,-1
HSCHR17_1_CTG1,324081,330528,ENSG00000282634,RPH3AL-AS2,1
HSCHR17_1_CTG1,4099,16866,ENSG00000282235,LINC02887,-1
HSCHR17_1_CTG1,30796,30899,ENSG00000277660,U6,-1
8,68330955,68819023,ENSG00000165084,C8orf34,1
9,42213841,42213918,ENSG00000276277,,-1
14,103733195,103847575,ENSG00000088808,PPP1R13B,-1
9,13927971,13945610,ENSG00000205636,LINC00583,1
6,28648286,28649066,ENSG00000235570,LINC00533,-1
9,100912320,100912741,ENSG00000230161,,1
6,18522735,18674001,ENSG00000283408,MIR548A1HG,1
9,41979352,41983753,ENSG00000270909,,1
9,90081297,90082569,ENSG00000234910,IL6RP1,-1
9,62888535,62889921,ENSG00000219693,FGF7P8,1
9,107534390,107535162,ENSG00000236005,,1
9,66635754,66637197,ENSG00000274181,RBPJP2,1
9,107853783,107854258,ENSG00000233727,,-1
6,958323,1101400,ENSG00000286785,LINC01622,-1
18,57755394,57755500,ENSG00000202159,RNU6-742P,1
9,100302077,100352942,ENSG00000136891,TEX10,-1
18,57838476,57838966,ENSG00000231544,RSL24D1P11,1
18,57961231,57964434,ENSG00000267209,LINC01897,-1
6,10426623,10429110,ENSG00000285759,,1
5,22212476,22213761,ENSG00000287471,,1
6,25012985,25015696,ENSG00000286633,,1
6,29026680,29027607,ENSG00000223677,OR2AD1P,-1
6,25041839,25056664,ENSG00000229313,,1
18,58018794,58019061,ENSG00000235028,HMGN1P30,-1
6,17102050,17131378,ENSG00000230873,STMND1,1
18,58416765,58417628,ENSG00000267675,,1
18,58451074,58451158,ENSG00000284440,MIR122,1
18,58451080,58451152,ENSG00000207778,MIR3591,-1
18,58476191,58477484,ENSG00000276403,,1
18,58481247,58629091,ENSG00000198796,ALPK2,-1
6,28732017,28732904,ENSG00000237425,RPSAP2,1
10,59551404,59551878,ENSG00000235469,MRPL50P4,-1
6,11514192,11516466,ENSG00000218020,THAP12P5,1
10,43789249,43790387,ENSG00000226790,HNRNPA3P1,-1
6,23971879,23972941,ENSG00000220748,,1
10,43732334,43732584,ENSG00000224162,UQCRHP3,1
6,19290319,19321021,ENSG00000231662,,-1
10,25647570,25648104,ENSG00000227465,GPN3P1,-1
6,28861416,28862047,ENSG00000213916,RPL13P,1
10,45127318,45148914,ENSG00000235690,CUBNP3,1
6,4774526,4775408,ENSG00000236336,CDYL-AS1,-1
10,57982285,57982993,ENSG00000270192,MRPS35P3,1
6,1026494,1027225,ENSG00000270937,,-1
5,55625845,55773194,ENSG00000177058,SLC38A9,-1
10,19051455,19052170,ENSG00000226255,UBE2V2P1,1
10,47484457,47484754,ENSG00000270369,,-1
10,65169438,65169869,ENSG00000227173,MYL6P3,-1
6,5003774,5045666,ENSG00000272142,LYRM4-AS1,1
10,42470082,42470268,ENSG00000279239,,-1
10,59176643,59247774,ENSG00000165443,PHYHIPL,1
6,7938430,7939322,ENSG00000217746,,-1
6,28455648,28456141,ENSG00000219262,OR2E1P,-1
6,6901022,6918715,ENSG00000223342,,-1
6,12008762,12164999,ENSG00000095951,HIVEP1,1
18,58511598,58512310,ENSG00000274354,,-1
